Année du BOPI,Numéro de pages du BOPI,Lettres alphabétiques,Noms des déposants,Numéro de classe,Numéro des pages correspondantes,ERRATA,Numéro de la marque,Renonciation totale,Renonciation partielle
1922,10,B,Bourdié frères,[1443],,,,,
1922,10,B,Bourdis (P.L.).,[156],,,,,
1922,10,B,Bourdois (E.),[1527],,,,,
1922,10,B,Bourdon (H.),[715],,,,,
1922,10,B,Bourdon (A. V.A.).,[1400],,,,,
1922,10,B,Bourdos (L.),[229],,,,,
1922,10,B,Bourgade (A.).,[387],,,,,
1922,10,B,Bourgain (A.),[1697],,,,,
1922,10,B,Bourgain fils (Société anonyme des Établissements L.),[353],,,,,
1922,10,B,Bourgeat (E.).,[550],,,,,
1922,10,B,Bourgeois (P. & M.),[347],,,,,
1922,10,B,Bourgeis (A.),[647],,,,,
1922,10,B,Bourgeois (E.).,[827],,,,,
1922,10,B,Bourgeois (G.).,[970],,,,,
1922,10,B,Bourgeois (Anciens Établissements).,[1291],,,,,
1922,10,B,Bourgeois (J.A. V.).,"[1054, 1331, 1338]",,,,,
1922,10,B,"Bourgeois (Y.),.",[1449],,,,,
1922,10,B,Bourgeois - Radé (L.),[664],,,,,
1922,10,B,Bourgine (A. & Berguer fils (C.) (Société),[1728],,,,,
1922,10,B,Bourgoin (E.),[1510],,,,,
1922,10,B,Bourin (C.),[1111],,,,,
1922,10,B,Bourinet (M.),[95],,,,,
1922,10,B,Bourjois & Cie (Parfumerie A.).,"[202, 203, 868, 949]",,,,,
1922,10,B,Bourlière frères & Beluze (Société).,[1058],,,,,
1922,10,B,Bournisien et autres (Société).,[1054],,,,,
1922,10,B,"Bournisien, Beau & Cie (Société en commandite par actions).",[150],,,,,
1922,10,B,Bourquin & Beley (Société),[302],,,,,
1922,10,B,Bourra (L.E.G.).,[869],,,,,
1922,10,B,Bourrachot (dame M.),[565],,,,,
1922,10,B,Bourrageas (D.).,[1832],,,,,
1922,10,B,Bourrel (Célina).,[226],,,,,
1922,10,B,Bourrelly (G.),[1731],,,,,
1922,10,B,Bourrières (G.).,[599],,,,,
1922,10,B,Bourrin (Société A.),[1053],,,,,
1922,10,B,Bourru (F.),[501],,,,,
1922,10,B,Bourseul (C.A.E.),[1629],,,,,
1922,10,B,Boursin (C.A.).,[1221],,,,,
1922,10,B,Bourtault (C.),[1183],,,,,
1922,10,B,"Bousfield, Finlayson & Company Limited (Socié).",[305],,,,,
1922,10,B,Bousigues (T.).,[18],,,,,
1922,10,B,Bousquet (A.),[631],,,,,
1922,10,B,Bousquet (F.A.).,[631],,,,,
1922,10,B,Bousquet (H.L.).,[759],,,,,
1922,10,B,Bousquet (E.),[1418],,,,,
1922,10,B,Bousquet (V.),[1532],,,,,
1922,10,B,Boussard dame (L.),[17],,,,,
1922,10,B,Boussard frères & autres (Société).,[319],,,,,
1922,10,B,Boussaroque (F.).,"[1379, 1438]",,,,,
1922,10,B,Bousset (H.),[1857],,,,,
1922,10,B,"Bousson, Culosse & Vignard",[425],,,,,
1922,10,B,Boussot & Querry (Société),[300],,,,,
1922,10,B,Boustet (G.),[649],,,,,
1922,10,B,"Boutard, Odend’- Hal & Cie",[1236],,,,,
1922,10,B,Bouteille (J.B.E.).,[1878],,,,,
1922,10,B,Bouteiller & Cie (de),"[642, 708]",,,,,
1922,10,B,Boutelleau (C.).,[1078],,,,,
1922,10,B,Boutet (Société anonyme Établissements P.).,[1393],,,,,
1922,10,B,Boutillier - Delaurière & Cie (Raison sociale),"[248, 618, 809, 884, 1026, 1313]",,,,,
1922,10,B,Boutillon (H.),[1754],,,,,
1922,10,B,Boutin (dame veuve) & Gabin (E.).,[606],,,,,
1922,10,B,Bouton (E.),[198],,,,,
1922,10,B,Bouton & fils (Société G.),[611],,,,,
1922,10,B,Bouton & Brochard (Société),[406],,,,,
1922,10,B,Boutonnet et autres,[366],,,,,
1922,10,B,Bouty (F.),[819],,,,,
1922,10,B,Bouvard (P.),[269],,,,,
1922,10,B,Bouveau (R.M.).,[927],,,,,
1922,10,B,Bouvet (R.),[645],,,,,
1922,10,B,Bouvet (J.),[1504],,,,,
1922,10,B,Bouvet (M.),[1696],,,,,
1922,10,B,Bouyssou (L.),[75],,,,,
1922,10,B,Bouyssou (H.) & Chalon (P.),[1519],,,,,
1922,10,B,Bouzigues (G.).,[98],,,,,
1922,10,B,Bovet (L.),[357],,,,,
1922,10,B,Bovida (Société anonyme La).,[1708],,,,,
1922,10,B,Bovril (Société anonyme),[1145],,,,,
1922,10,B,Bovril (Société anonyme des Produits),[1603],,,,,
1922,10,B,Bowman et autres (Société),[1348],,,,,
1922,10,B,Bowne & Scott Limited,"[295, 1618]",,,,,
1922,10,B,Boy (Raison sociale A.J.),[934],,,,,
1922,10,B,Boyd (C.G.),[1687],,,,,
1922,10,B,Boyd - Welsh. - Shoe Co (Raison sociale).,[1229],,,,,
1922,10,B,"Boyelle, Beau & Cie",[999],,,,,
1922,10,B,Boyer (Société des chaux et ciments Romain),[111],,,,,
1922,10,B,Boyer (A.),[157],,,,,
1922,10,B,Boyer (E.),[458],,,,,
1922,10,B,Boyer (G.).,"[809, 1155]",,,,,
1922,10,B,Boyer (J.),[1180],,,,,
1922,10,B,Boyer (Société anonyme des Tuileries Romain).,[1258],,,,,
1922,10,B,Boyer et autres (Société des Appareils Radio-Électriques),[1519],,,,,
1922,10,B,Boyer aîné (L.).,[1010],,,,,
1922,10,B,Boyer-Mayaux (Société),[880],,,,,
1922,10,B,Boyer & Saléon (Société).,"[192, 454]",,,,,
1922,10,B,Boyet (J.A.),[138],,,,,
1922,10,B,Boyle (R.) & Son.,[1730],,,,,
1922,10,B,Boyriven (Société anonyme),[1163],,,,,
1922,10,B,Boyssou (L.),[1630],,,,,
1922,10,B,Boyveau et autres (Raison sociale).,[338],,,,,
1922,10,B,Bozier (H.A. G.).,[1697],,,,,
1922,10,B,Bozon - Verduraz (Société anonyme dite Établissements),[19],,,,,
1922,10,B,Brach (A. M.),[1541],,,,,
1922,10,B,Brachet (P.),[1243],,,,,
1922,10,B,Braconnier & Tronchon,[1338],,,,,
1922,10,B,Bradley Pulverizer Copmany (Société),[1820],,,,,
1922,10,B,Brady & Reiss.,[804],,,,,
1922,10,B,Brampton Brothers Limited (Société),"[939, 1297]",,,,,
1922,10,B,"Brancaz, Basset & Cie (Société).",[283],,,,,
1922,10,B,Branchu (J.),[1878],,,,,
1922,10,B,Brandaglia - Ferruccio (P.),[109],,,,,
1922,10,B,Brandt & frère (Société anonyme Louis),[1814],,,,,
1922,10,B,Braouezec (E.).,[531],,,,,
1922,10,B,Braquier (Anciens Établissements Léon),[876],,,,,
1922,10,B,Brasier (Société des Automobiles les),[795],,,,,
1922,10,B,Brassart & Cie.,[1092],,,,,
1922,10,B,Brasserie l’Algériennef,"[1384, 1385]",,,,,
1922,10,B,Brasserie Coopérative L’Avenir.,[162],,,,,
1922,10,B,Brasserie Coopérative Union de Roubaix,[887],,,,,
1922,10,B,Brasserie Hommel (Société anonyme),[1025],,,,,
1922,10,B,Brasserie de Lutterbach (Raison sociale),[1806],,,,,
1922,10,B,Brasserie Malterie “ A la Perle ».,[298],,,,,
1922,10,B,Brasserie Matapaud,[668],,,,,
1922,10,B,Brasserie de Nice.,[164],,,,,
1922,10,B,Brasserie de la Riviéra (Société anonyme),[1612],,,,,
1922,10,B,Brasserie de Toulon,[1184],,,,,
1922,10,B,Brasserie de Vézelise (Société).,[1443],,,,,
1922,10,B,Brasserie de la Ville de Lyon.,[584],,,,,
1922,10,B,Brasseries l'Atlantique (Société anonyme),[575],,,,,
1922,10,B,Brasseries de la Loire (Société anonyme des).,[627],,,,,
1922,10,B,Brasseries de la Méditerranée (Société anonyme des),[533],,,,,
1922,10,B,Brasseries de la Meuse (Société).,[726],,,,,
1922,10,B,Brasseries Nantaises (Société des).,[1716],,,,,
1922,10,B,Brasseries réunies de Maubeuge et environs (Société anonyme).,"[884, 1182]",,,,,
1922,10,B,Brasseur (E.),[1248],,,,,
1922,10,B,Brassler & Fereng (Raison sociale).,[645],,,,,
1922,10,B,Brau (J.M.),[985],,,,,
1922,10,B,Brault (J.),[967],,,,,
1922,10,B,Braun (J.B.),[1728],,,,,
1922,10,B,Braun (L.),[1782],,,,,
1922,10,B,"Braun, Boyer, Bordage (Société des appareils Radio-Électriques).",[1519],,,,,
1922,10,B,Braunschweiger Rechenmaschinen fabrik Rema m. b. H. (Société),[482],,,,,
1922,10,B,Brauns gesellscbaft mit Beschrankter Haftung (Société W.),[709],,,,,
1922,10,B,Braunstein frères (Société anonyme des Anciens Établissements),"[279, 1205, 1637]",,,,,
1922,10,B,B.R.C. (Société anonyme des Établissements).,"[419, 422]",,,,,
1922,10,B,Bréant (L.L. dite M.),[1517],,,,,
1922,10,B,Breckon (C.).,"[281, 514]",,,,,
1922,10,B,Breheret (L.),[1388],,,,,
1922,10,B,Breillaud (dame).,[930],,,,,
1922,10,B,Brengues (L.),[1387],,,,,
1922,10,B,Bres (P.),[1692],,,,,
1922,10,B,Bresson (M.).,"[1369, 1370]",,,,,
1922,10,B,Bresson (Etablissements Abel).,[1026],,,,,
1922,10,B,Bresson (Société anonyme des Établissements Abel),"[1108, 1362, 1468, 1806]",,,,,
1922,10,B,Bressot,[847],,,,,
1922,10,B,Bretin (C.),[367],,,,,
1922,10,B,Breton (L.E.),[406],,,,,
1922,10,B,Breton (L.),[904],,,,,
1922,10,B,Breton (P.),[1165],,,,,
1922,10,B,Breton (dame L.).,[1294],,,,,
1922,10,B,Breton (E.),[1778],,,,,
1922,10,B,Breton-Bouard (A.),[1409],,,,,
1922,10,B,Breton & Van Steenbrugghe (Société),[927],,,,,
1922,10,B,Bretonnière (L.P. M.),[832],,,,,
1922,10,B,Bretonville (H.).,[238],,,,,
1922,10,B,Breuil (J.),[1699],,,,,
1922,10,B,Breysse (A.),[891],,,,,
1922,10,B,Briand (Raison sociale René),[1027],,,,,
1922,10,B,Briau (G.) & Soudée (A.),[1480],,,,,
1922,10,B,Bricard (Société G. & R.),"[385, 859]",,,,,
1922,10,B,Bricard & Besson (Société veuve).,[648],,,,,
1922,10,B,"Bricard (veuve), Besson & Delepoulle (Société).",[150],,,,,
1922,10,B,Brice (J.J.),[740],,,,,
1922,10,B,Brice (L.R.),[1617],,,,,
1922,10,B,Bridelance (L.).,[902],,,,,
1922,10,B,Bridge (J.),[255],,,,,
1922,10,B,Bridge (Joë),[406],,,,,
1922,10,B,Bridier (P.) & Tamet (J.),[1485],,,,,
1922,10,B,Bridoux (A.).,"[304, 325, 501, 508, 683, 972, 973, 1090, 1091, 1371, 1372, 1629, 1655, 1858]",,,,,
1922,10,B,Brienne (L.R.).,"[1165, 1522]",,,,,
1922,10,B,Brigodiot (J.),[30],,,,,
1922,10,B,Bril & Cie (Société industrielle.,"[753, 754]",,,,,
1922,10,B,Brilles & Durand.,[507],,,,,
1922,10,B,Brillié (R.) & Munro (G.) (Société),[270],,,,,
1922,10,B,Brinon (G.H.).,[1042],,,,,
1922,10,B,Brintot (F.) & Lohner (dame veuve A.),[483],,,,,
1922,10,B,Briot (A.),[973],,,,,
1922,10,B,"Brisac, Craissati, Cornfeld & Morskoï (Société)",[1481],,,,,
1922,10,B,Page réelle.,[1571],,,,,
1922,10,B,Brissaud (dame J. L.),[542],,,,,
1922,10,B,Brisse (M.),[906],,,,,
1922,10,B,Brisson & Cie,"[1115, 1284]",,,,,
1922,10,B,Brisson & Cie (Société),[187],,,,,
1922,10,B,Bristol Aéroplane,[155],,,,,
1922,10,B,Co Limited (Société The),[146],,,,,
1922,10,B,Page réelle.,[155],,,,,
1922,10,B,Bristol Myers Co (Société),[],,,,,
1922,10,B,Bristowes Tarvia 2< ? -> Limited (Société),[],,,,,
1922,10,B,British American Tobacco Co Limited (Société).,"[568, 1305, 1603]",,,,,
1922,10,B,British Cellulose. and Chemical Manufacturing < ? -> C° Limited (Société)< ? ->,[],,,,,
1922,11,B,British Portland Cernent Manufacturers Limited (Société dite The),[110],,,,,
1922,11,B,Brocadet (P.).,"[294, 736]",,,,,
1922,11,B,Brocard (E.),[207],,,,,
1922,11,B,Brocard (C.),[405],,,,,
1922,11,B,Brocard (E.),[982],,,,,
1922,11,B,Brocard & Cie (Société Française de Parfumerie).,"[201, 459, 1527, 1704]",,,,,
1922,11,B,Brochard & Bouton (Société),[406],,,,,
1922,11,B,Brochon (R.),[1857],,,,,
1922,11,B,Bronner (A.),[1688],,,,,
1922,11,B,Brockmann Chemische Fabrik m. b. H. (Firme M.),[132],,,,,
1922,11,B,Brocquet (dame M.),[1079],,,,,
1922,11,B,Brodeur (R.),[1519],,,,,
1922,11,B,Broenniman Export Gorp. (Société dite),[142],,,,,
1922,11,B,Broisat (G.H.).,[654],,,,,
1922,11,B,Bromograph A.G. (Société),[1186],,,,,
1922,11,B,"Brook, Jonas & Brothers (Société)",[561],,,,,
1922,11,B,Brook (J.) & Brothers (Société).,[561],,,,,
1922,11,B,Bros (Société Gerstendorfer),[1055],,,,,
1922,11,B,"Bros, Powell & Cie (Société)",[18],,,,,
1922,11,B,Brossat (L.),[1188],,,,,
1922,11,B,Brossaud (L.) & Rochais (A.).,"[91, 93]",,,,,
1922,11,B,Brosserie Denisot (Société anonyme),[1341],,,,,
1922,11,B,Brosset-Heckel & autres,[561],,,,,
1922,11,B,Brossillon (L.) & Cie,[14],,,,,
1922,11,B,Brottin (dame veuve),[152],,,,,
1922,11,B,Brouillet (V.),[584],,,,,
1922,11,B,Broussaud et autres,"[10, 181, 19]",,,,,
1922,11,B,Broussaud & Cie (Société J.B.).,[1589],,,,,
1922,11,B,Page réelle.,[1599],,,,,
1922,11,B,Brousson (M.) & Lafond (C.),[863],,,,,
1922,11,B,Broux & fils (dame veuve).,"[308, 868, 1132, 1704]",,,,,
1922,11,B,Brown (B.),[424],,,,,
1922,11,B,Bru (L.),[1261],,,,,
1922,11,B,Brucato (D.).,[560],,,,,
1922,11,B,Brucker (L.),[1746],,,,,
1922,11,B,Brugère & Huguet (J.) (Société des Etablissements).,[1522],,,,,
1922,11,B,Brugièregarde (J.),[1340],,,,,
1922,11,B,Brugueirolle (F.).,[1389],,,,,
1922,11,B,Bruguière (C.).,[1182],,,,,
1922,11,B,Brûlerie du Parc (Société Anonyme),[1496],,,,,
1922,11,B,Brulon (A.),[1472],,,,,
1922,11,B,Page réelle.,[1562],,,,,
1922,11,B,Brun (Société anonyme des Anciens Établissements Gaëtan),"[359, 361, 363, 724]",,,,,
1922,11,B,Brun (M.J.),[499],,,,,
1922,11,B,Brun (C.A.M.).,[700],,,,,
1922,11,B,Brun & Cie,[627],,,,,
1922,11,B,Brun fils (L.),[391],,,,,
1922,11,B,Brun & Marge (Anciens Établissements).,[48],,,,,
1922,11,B,Brun-Badon,[1790],,,,,
1922,11,B,Brun-Perod & Cie (Maison C.),[290],,,,,
1922,11,B,Brun-Perod & Cie (Distillerie Cde).,[1412],,,,,
1922,11,B,Bruneau (M.).,[1099],,,,,
1922,11,B,Bruneau & Cie,[700],,,,,
1922,11,B,Bruneel (E.),[975],,,,,
1922,11,B,Brunel (Établissements Jules).,[211],,,,,
1922,11,B,Brunet (R.).,[1407],,,,,
1922,11,B,Brunet (L.),[299],,,,,
1922,11,B,Brunet (G.),[373],,,,,
1922,11,B,Brunet (H.),[393],,,,,
1922,11,B,Brunet (E.),[832],,,,,
1922,11,B,Brunet (Société les fils de A.),[1578],,,,,
1922,11,B,Page réelle.,[1588],,,,,
1922,11,B,"Brunet (G.), Friry (F.) & Cie.","[276, 978, 1864]",,,,,
1922,11,B,"Brunet, Sartel & Cie (Société).",[119],,,,,
1922,11,B,Brunhes (M.),[926],,,,,
1922,11,B,Brunier fils & Cie (Étienne),[1716],,,,,
1922,11,B,Brunier fils (E.).,[1845],,,,,
1922,11,B,Bruning & Lucius Société Farbwerke vorm. Meister),"[853, 1252, 1254]",,,,,
1922,11,B,Brunner & Cie (Société C.).,[342],,,,,
1922,11,B,Bruno (G.),[467],,,,,
1922,11,B,Bruno (C.).,"[1643, 1716]",,,,,
1922,11,B,Brunon (B.),[36],,,,,
1922,11,B,Brunon aîné (Société Les fils de).,[1165],,,,,
1922,11,B,Brunschwig (société S.),[646],,,,,
1922,11,B,Brunswick Balke Collender Company (Raison Sociale The),[169],,,,,
1922,11,B,Brut (J.),[147],,,,,
1922,11,B,Bruyant (P.),[1606],,,,,
1922,11,B,Bruyère (Société La),"[1706, 1707]",,,,,
1922,11,B,Bruyn Limited (Société De),[311],,,,,
1922,11,B,Bruyneel (dame veuve A.),[1517],,,,,
1922,11,B,Bruzac (P.L.G.).,[1298],,,,,
1922,11,B,Bucheron (P.),[1628],,,,,
1922,11,B,Buchet (C.) & Cie. ,"[587, 819]",,,,,
1922,11,B,Buchet (Ch.) & Cie,"[818, 1283]",,,,,
1922,11,B,Buchette (A.),[572],,,,,
1922,11,B,Buffalo Specialty C° (Société Anonyme),[1337],,,,,
1922,11,B,Buffard (C.F.).,"[37, 750]",,,,,
1922,11,B,Buffard frères,[230],,,,,
1922,11,B,Buffet de la Gare.,[453],,,,,
1922,11,B,Bugaud père & ses fils (Société L.).,[301],,,,,
1922,11,B,Bugnot (P.),[468],,,,,
1922,11,B,Buhler-Panier (F.),[1465],,,,,
1922,11,B,Buisson (A.).,"[632, 672, 1721]",,,,,
1922,11,B,Buisson (E.).,"[759, 1335]",,,,,
1922,11,B,Buisson (F.).,"[807, 1821]",,,,,
1922,11,B,Buisson & Cie (Société E.),[1817],,,,,
1922,11,B,Buisson (L.). Blanc (F.) & Cie (Société),[265],,,,,
1922,11,B,Buisson & Métier.,[954],,,,,
1922,11,B,Bulteau (L.),[1465],,,,,
1922,11,B,Bulteaux (L.) & Cie,[1467],,,,,
1922,11,B,Bur & Cie (veuve P.),[401],,,,,
1922,11,B,Burberrys Limited (Société),[1011],,,,,
1922,11,B,Burck (J.J.) du.,[1775],,,,,
1922,11,B,Burckel (P.),[1376],,,,,
1922,11,B,Burdin (R.),[807],,,,,
1922,11,B,Burel (H.),[803],,,,,
1922,11,B,Burel (H.A.E.).,"[1492, 1797]",,,,,
1922,11,B,Burg (J.),[1451],,,,,
1922,11,B,Burgel (J.),[1197],,,,,
1922,11,B,Burlet & Virot (Société),[1868],,,,,
1922,11,B,Burmah Oil Co Limited (Société The),[1747],,,,,
1922,11,B,Burney et autres (Société),[880],,,,,
1922,11,B,Burnichon (G.).,[1523],,,,,
1922,11,B,Burnoud - Coumes (dame M.A.).,[1800],,,,,
1922,11,B,Burnoud - Coumes dme,[1140],,,,,
1922,11,B,Burnouf (J.L.).,[1610],,,,,
1922,11,B,Burroughs Wellcome & Co (Firme),"[1672, 1721]",,,,,
1922,11,B,Burton fils (C.W.).,[679],,,,,
1922,11,B,Burton fils (Société),[853],,,,,
1922,11,B,Bury (A.),[1511],,,,,
1922,11,B,Busiau G.).,"[546, 547]",,,,,
1922,11,B,Busnel (E.),[456],,,,,
1922,11,B,Busnel (G.E.).,"[577, 578]",,,,,
1922,11,B,Busnet (G.E.).,"[577, 578]",,,,,
1922,11,B,Busse Seniorkulturgerate G. m. b. H. (Société A.),[937],,,,,
1922,11,B,Busser (H.),[747],,,,,
1922,11,B,Busson & Cie (Société V.),[1125],,,,,
1922,11,B,Buteau & Cie (Société A.).,"[1441, 1442]",,,,,
1922,11,B,Buteau & Cie (Société anonyme).,[1501],,,,,
1922,11,B,Butler (J.),[407],,,,,
1922,11,B,Buttenwieser (S.).,[685],,,,,
1922,11,B,Butterick Publishing Co (Société The),[326],,,,,
1922,11,B,Butti & Loisel,[1171],,,,,
1922,11,B,Byass & Co Limited (Société Robert B.) & Hughes (W.E.) & Co,[1781],,,,,
1922,11,B,Bygodt & Régent (Société).,"[1517, 1521]",,,,,
1922,11,B,Byla (Société anonyme Les Établissements).,"[136, 409, 1483]",,,,,
1922,11,B,Page réelle.,[1573],,,,,
1922,11,B,Byla (Société anonyme Établissements),[1720],,,,,
1922,11,,C,[],,,,,
1922,11,C,Cabanas (L.),[1369],,,,,
1922,11,C,"Cabanié (A.), Schwoob (R.) & Schwoob (E.).",[39],,,,,
1922,11,C,Cabon (M.),[751],,,,,
1922,11,C,Cabot (G.),[709],,,,,
1922,11,C,Cabot (S.) Inc. (Société),"[1475, 1482]",,,,,
1922,11,C,Cabrera (veuve).,[170],,,,,
1922,11,C,Cabrespines (G. J.),[1697],,,,,
1922,11,C,Cacciola (A.) & Uzelac (N.).,"[1541, 1656]",,,,,
1922,11,C,Cachat (J.),[1246],,,,,
1922,11,C,Cachemaille (R.) & Lessieux (H.),[682],,,,,
1922,11,C,Cachera - Monnier (P.),[1318],,,,,
1922,11,C,Cacheux (F.),[426],,,,,
1922,11,C,Cadbury Brothers Limited (Société dite),[86],,,,,
1922,11,C,Cadenel (L.),[855],,,,,
1922,11,C,Cadot (H.),[1013],,,,,
1922,11,C,Cadot frères (Société),"[907, 908]",,,,,
1922,11,C,Caemes (L.),[663],,,,,
1922,11,C,Caen (A.),[1670],,,,,
1922,11,C,Cagna (P.),[669],,,,,
1922,11,C,Cahors (E.),[1166],,,,,
1922,11,C,Cahouet (C.),[1583],,,,,
1922,11,C,Page réelle.,[1593],,,,,
1922,11,C,"Caillat, Chapuis père & fils",[496],,,,,
1922,11,C,Caillau (L.),[729],,,,,
1922,11,C,Caillaud (G.).,"[700, 701]",,,,,
1922,11,C,Caillaud (L.),[918],,,,,
1922,11,C,Cailleaudeaux (Ch.),[1530],,,,,
1922,11,C,"Cailloux, Mielle & Cie (Société anonyme des Établissements).",[1290],,,,,
1922,11,C,Caire (Barthélémy),[1052],,,,,
1922,11,C,Caizergues (Société Les fils de Jean),[1529],,,,,
1922,11,C,Calaber (F.),[87],,,,,
1922,11,C,Calbrix (L.).,"[179, 1620]",,,,,
1922,11,C,"Caldbeck, Macgregor & Cie",[577],,,,,
1922,11,C,California Central Creameries (Société),[1349],,,,,
1922,11,C,California Prune & Apricot Growers Inc. (Société).,[1307],,,,,
1922,11,C,Calité (P.E.),[1699],,,,,
1922,11,C,Callivroussi (dame P.),[1469],,,,,
1922,11,C,Page réelle.,[1559],,,,,
1922,11,C,Calmels (J.),[83],,,,,
1922,11,C,Calmes (F.),[571],,,,,
1922,11,C,Calmes frères,[570],,,,,
1922,11,C,Calothy & fils (Société),[6],,,,,
1922,11,C,Calvayrac (G.) & Fize (J.),[321],,,,,
1922,11,C,Calvé-Delft (Établissements).,[157],,,,,
1922,11,C,Calvo frères (Société de fait).,[1589],,,,,
1922,11,C,Page réelle.,[1599],,,,,
1922,11,C,Cambiaggio (Domenico P.),[242],,,,,
1922,11,C,Cambier (A.) & Cie (Société),"[1237, 1679]",,,,,
1922,11,C,Cambon (G.),[770],,,,,
1922,11,C,Cambours &. fils (D.),"[1144, 1145]",,,,,
1922,11,C,Cambriel (P.P.A. A.).,[1082],,,,,
1922,11,C,Camell & autres.,[502],,,,,
1922,11,C,"Camell, Cochet, Gritte & Cie (Société Lyonnaise des Réchauds Catalytiques.",[502],,,,,
1922,11,C,Cam-Hoa (Teinturerie),[1632],,,,,
1922,11,C,Camier (A. L.).,[1112],,,,,
1922,11,C,Camin (L.),[1520],,,,,
1922,11,C,Carnis & Cie.,"[771, 1139, 1141]",,,,,
1922,11,C,Cammas (E.),[150],,,,,
1922,11,C,Camme (J.),[212],,,,,
1922,11,C,Cammell Laird & Co Limited (Société),[549],,,,,
1922,11,C,Camoin (J.),[1016],,,,,
1922,11,C,Campagne (C.).,[400],,,,,
1922,11,C,Campario (L.),"[246, 360, 361]",,,,,
1922,11,C,Campion (P.),[1875],,,,,
1922,11,C,Camps et autres (Société),[159],,,,,
1922,11,C,Camus (R.),[455],,,,,
1922,11,C,Camus (C.).,"[785, 1542]",,,,,
1922,11,C,Camus (Société lesfils de E.),[883],,,,,
1922,11,C,Camus Frères (Raison sociale).,"[125, 126, 127, 128, 130, 622, 774, 1842]",,,,,
1922,11,C,Camy (.),[1868],,,,,
1922,11,C,Canadian American Machinery Co France Société Anonyme The).,[1255],,,,,
1922,11,C,Canadian Fishing Company (Société),[465],,,,,
1922,11,C,Canaple (Ch.) successeur & Roux (Ch.) fils (Société anonyme des Anciens Établissements).,"[1334, 2004]",,,,,
1922,11,C,Canard (A.) & fils.,[863],,,,,
1922,11,C,"Canart, Morand & Cie (Société).",[320],,,,,
1922,11,C,Canat & De La Chapelle,[833],,,,,
1922,11,C,Canavèse (A.),[1784],,,,,
1922,11,C,Candau (dame J. M.),[1671],,,,,
1922,11,C,Candel (dame veuve E.),[1588],,,,,
1922,11,C,Page réelle.,[1598],,,,,
1922,11,C,Canis (J.),[1058],,,,,
1922,11,C,Canning & Co Limited (Société W).,[935],,,,,
1922,11,C,Canonne (H.).,"[338, 1187]",,,,,
1922,11,C,Cantin (A.),[179],,,,,
1922,11,C,Cantineau & Jacquet,[86],,,,,
1922,11,C,Canton (L.),[937],,,,,
1922,11,C,Cantrelle (P.E.).,"[146, 925]",,,,,
1922,11,C,Canty (L.),[1740],,,,,
1922,11,C,Capdevielle (P.).,[1733],,,,,
1922,11,C,Capdeville (G.).,[49],,,,,
1922,11,C,Capeillères & Berger,[341],,,,,
1922,11,C,Capel (F.),[1526],,,,,
1922,11,C,Capelle (dame M. L.),"[383, 1221]",,,,,
1922,11,C,"Caperaa, Camps & Cazenave (Société)",[159],,,,,
1922,11,C,Capestan & Salin.,[475],,,,,
1922,11,C,Capitant de Villebonne (H.M.V. J.),[719],,,,,
1922,11,C,Caplain (L.),[681],,,,,
1922,11,C,Caplain (F.),[702],,,,,
1922,11,C,Caplain - Berger (M.),[1251],,,,,
1922,11,C,Caplain Saint-André fils et Cie (Société en commandite simple),[298],,,,,
1922,11,C,Caplong (E.),[1291],,,,,
1922,11,C,Cappelaere (V.).,[614],,,,,
1922,11,C,Cappelle (J.),[865],,,,,
1922,11,C,Cappelle & Van Éupen (Société).,[311],,,,,
1922,11,C,Capron (M.),[1478],,,,,
1922,11,C,Page réelle.,[1568],,,,,
1922,11,C,Caradeau frères (Société),[1052],,,,,
1922,11,C,Carbona Products C° (Société),[1483],,,,,
1922,11,C,Page réelle.,[1573],,,,,
1922,11,C,Carbonel & Birac (Société),[152],,,,,
1922,11,C,"Carbonneau, Laffont & Cie (Société)",[1305],,,,,
1922,12,C,Carburateurs Rex (Société anonyme des),[1755],,,,,
1922,12,C,Carcassonne (G.).,[1073],,,,,
1922,12,C,Cardinali (A.),[1762],,,,,
1922,12,C,Cardon - Duverger (A.),"[158, 159, 398, 1641]",,,,,
1922,12,C,Cardot (Anciens Établissements J.),[396],,,,,
1922,12,C,Cardot (A.) & Berquet (H.) (Société),[103],,,,,
1922,12,C,Carénou & Cie (Société),[614],,,,,
1922,12,C,Carenou & Cie,[1101],,,,,
1922,12,C,Carénou & Tur de France (Anciens Établissements).,[614],,,,,
1922,12,C,Cargue (M.),[1294],,,,,
1922,12,C,Caribonum C° Limited (Société The),[781],,,,,
1922,12,C,Carlhian (V.),[1013],,,,,
1922,12,C,Carlier (U.),[720],,,,,
1922,12,C,Carlier & Ducatillon (Maison).,"[154, 266, 442, 1021, 1087]",,,,,
1922,12,C,Carlin (M.),[1438],,,,,
1922,12,C,Carlos da Silva (Jaos),"[871, 884]",,,,,
1922,12,C,Carlowitz & Cie (Raison sociale).,[566],,,,,
1922,12,C,Carmine (R.E.P.),[1783],,,,,
1922,12,C,Carmona (J.),"[1610, 1745, 1871]",,,,,
1922,12,C,Carnaud (Société anonyme des Établissements J.J.) & Forges de Basse-Indre.,[1126],,,,,
1922,12,C,Carné (dame (L.).,"[663, 1111]",,,,,
1922,12,C,Caro (dame),[157],,,,,
1922,12,C,Caron (dame veuve F.),[618],,,,,
