Année du BOPI,Numéro de pages du BOPI,Lettres alphabétiques,Chiffres des marques,Dénomination des marques,Emblême,Numéro de classe,Numéro des pages correspondantes,ERRATA,Numéro de la marque,Renonciation totale,Renonciation partielle
1922,62,A,,Artista sur une palette (Dessin).,,11,68,,,,
1922,62,A,,Artiste,,59,1436,,,,
1922,62,A,,Ar-tis-tic,,58,154,,,,
1922,62,A,,Artois.,,56,948,,,,
1922,62,A,,id.,,52,1095,,,,
1922,62,A,,Artoradine,,79,1450,,,,
1922,62,A,,Artrol,,79,170,,,,
1922,62,A,,Arudy,,3,105,,,,
1922,62,A,,Arvernite (L’).,,25,558,,,,
1922,62,A,,Arvor (Confiturerie d’),,66,281,,,,
1922,62,A,,Arvor,,17,301,,,,
1922,62,A,,id.,,32,500,,,,
1922,62,A,,Arvor (L’),,14,827,,,,
1922,62,A,,Arvor (Baume).,,79,1079,,,,
1922,62,A,,Arvoris sur un écusson (Dessin).,,62,980,,,,
1922,62,A,,A. S,,61,1638,,,,
1922,62,A,,As (L’),,9,594,,,,
1922,62,A,,A. S. (Naphtol) sur un soleil,,15,598,,,,
1922,62,A,,As (L’),,33,601,,,,
1922,62,A,,As (Un),,70,816,,,,
1922,62,A,,As (L’) avec aéroplane (Dessin).,,43,1128,,,,
1922,62,A,,As,,58,1265,,,,
1922,62,A,,A.S. (Cycles).,,25,1480,,,,
1922,62,A,,As (L’),,21,1819,,,,
1922,62,A,,As (L') dans un un losange (Dessin),,75,1685,,,,
1922,62,A,,A. S. avec cœur (Dessin),,51,1827,,,,
1922,62,A,,As des as,,52,716,,,,
1922,62,A,,As des As (Société du véritable Robert),,64,874,,,,
1922,62,A,,As des as (L’).,,70,889,,,,
1922,62,A,,id.,,70,890,,,,
1922,62,A,,As de Cœur avec dessin,,66,1408,,,,
1922,62,A,,As de Cœur (Dessin),,51,1827,,,,
1922,62,A,,As des coupe-cheveux (L’),,42,797,,,,
1922,62,A,,As Originally Supplied To Napoléon the Great.,,68,986,,,,
1922,62,A,,As Sol (L’) avec pique (Dessin).,,60,802,,,,
1922,62,A,,As de Trèfle (Dessin).,,11,68,,,,
1922,62,A,,id.,,72,406,,,,
1922,62,A,,id.,,11,679,,,,
1922,62,A,,id.,,53,1486,,,,
1922,62,A,,As de Trèfle (L’).,,58,1829,,,,
1922,62,A,,As de Trèfle dans un écusson couronné (Dessin).,,59,691,,,,
1922,62,A,,id.,,59,1170,,,,
1922,62,A,,As Well,,60,244,,,,
1922,62,A,,A Saint-Georges.,,53,1261,,,,
1922,62,A,,Asavon (Pâte savonneuse),,14,1395,,,,
1922,62,A,,Asbestum,,55,1097,,,,
1922,62,A,,A.S. & Cie,,56,607,,,,
1922,62,A,,A. S. & C° dans un écusson couronné (Dessin).,,68,1027,,,,
1922,62,A,,A. S. & C° avec comète (Dessin).,,68,1498,,,,
1922,62,A,,Asepta,,78,1246,,,,
1922,62,A,,Aseptogan,,79,994,,,,
1922,62,A,,Asiatic (Chocolat).,,66,1641,,,,
1922,62,A,,Asitis,,69,1076,,,,
1922,62,A,,A. S. K,,20,1664,,,,
1922,62,A,,A. S. K. dans une étoile (Dessin).,,20,1664,,,,
1922,62,A,,Aski,,60,280,,,,
1922,62,A,,Asliberty,,8,1692,,,,
1922,62,A,,A. S. M. I. G.,,36,304,,,,
1922,62,A,,A. Sommerville & Go.,,72,1185,,,,
1922,62,A,,Asphaltyl,,3,1045,,,,
1922,62,A,,Aspic (L’),,52,391,,,,
1922,62,A,,Aspiphenin,,79,177,,,,
1922,62,A,,Aspirette,,78,1366,,,,
1922,62,A,,Aspirfrais,,66,769,,,,
1922,62,A,,Aspiromètre,,75,1617,,,,
1922,62,A,,Aspironne Excelsior,,79,215,,,,
1922,62,A,,Aspirosos,,22,970,,,,
1922,62,A,,Aspirosos,,22,1462,,,,
1922,62,A,,Page réelle.,,,1552,,,,
1922,62,A,,Assainissante (L’),,20,1006,,,,
1922,62,A,,Assenol,,11,1048,,,,
1922,62,A,,Associaton des Bons Vivants.,,80,1620,,,,
1922,62,A,,Assouan (L’),,35,941,,,,
1922,62,A,,Assur,,58,512,,,,
1922,62,A,,Astarte,,45,389,,,,
1922,62,A,,Astarté,,33,1858,,,,
1922,62,A,,Astatic,,25,348,,,,
1922,62,A,,Aster avec dessin.,,62,465,,,,
1922,62,A,,id.,,14,1394,,,,
1922,62,A,,Asthmor.,,79,1618,,,,
1922,62,A,,Asti-Cinzano.,,68,1768,,,,
1922,62,A,,Asti Cyrano. ‘.,,68,920,,,,
1922,62,A,,Asti liqueur,,68,1679,,,,
1922,62,A,,Asti-vermouth.,,68,1768,,,,
1922,62,A,,Astor (Raymond),,68,1746,,,,
1922,62,A,,Astra,,14,145,,,,
1922,62,A,,id.,,65,765,,,,
1922,62,A,,Astra (Bière).,,68,957,,,,
1922,62,A,,Astra (Bock),,68,957,,,,
1922,62,A,,Astra,,52,1015,,,,
1922,62,A,,id.,,68,1103,,,,
1922,62,A,,id.,,16,1124,,,,
1922,62,A,,id.,,72,1280,,,,
1922,62,A,,Astra (Courroies) avec dessin.,,27,1821,,,,
1922,62,A,,Astra (Café l’) avec dessin,,67,1834,,,,
1922,62,A,,Astrakella,,44,650,,,,
1922,62,A,,Astra-Real,,68,1773,,,,
1922,62,A,,Astral (Bijou).,,56,1405,,,,
1922,62,A,,Astre du Nord.,,46,755,,,,
1922,62,A,,Astrée (L’),,66,468,,,,
1922,62,A,,Astrée (L’),,58,948,,,,
1922,62,A,,Astrolin avec dessin,,33,454,,,,
1922,62,A,,Astyl,,68,1714,,,,
1922,62,A,,Ata,,14,1816,,,,
1922,62,A,,Atala,,52,1095,,,,
1922,62,A,,Atalante avec dessin,,53,1487,,,,
1922,62,A,,Atco,,17,72,,,,
1922,62,A,,Atelier Janod.,,41,560,,,,
1922,62,A,,Atelier Madim.,,74,1508,,,,
1922,62,A,,Atesta,,25,1338,,,,
1922,62,A,,Athénée,,66,1356,,,,
1922,62,A,,Athénien (Crêpe).,,45,389,,,,
1922,62,A,,Athénien (L’) avec dessin,,60,760,,,,
1922,62,A,,Athléta. ,,71bis ,1212,,,,
1922,62,A,,Athlétic.,,78,1775,,,,
1922,62,A,,Athlétine.,,71bis,94,,,,
1922,62,A,,Athlos,,71bis,1212,,,,
1922,62,A,,Athlose,,79,846,,,,
1922,62,A,,Athmos,,22,269,,,,
1922,62,A,,Athos,,78,55,,,,
1922,62,A,,id.,,42,602,,,,
1922,62,A,,id.,,68,1238,,,,
1922,62,A,,id.,,42,1373,,,,
1922,62,A,,Atlanta (Cafés).,,67,878,,,,
1922,62,A,,Atlanta,,62,980,,,,
1922,62,A,,Atlantic.,,9,143,,,,
1922,62,A,,Atlantic (L’),,35,941,,,,
1922,62,A,,Atlantide,,79,440,,,,
1922,62,A,,id.,,45,561,,,,
1922,62,A,,id.,,58,566,,,,
1922,62,A,,id.,,52,1633,,,,
1922,62,A,,id.,,58,719,,,,
1922,62,A,,id.,,68,886,,,,
1922,62,A,,id.,,62,914,,,,
1922,62,A,,id.,,45,1057,,,,
1922,62,A,,id.,,52,1096,,,,
1922,62,A,,Atlantide (L’),,72,1748,,,,
1922,62,A,,Atlantide (Fil).,,45,650,,,,
1922,62,A,,Atlantique (Brasseries F).,,68,575,,,,
1922,62,A,,Atlantique.,,22,1480,,,,
1922,62,A,,Atlantique auto-mobile avec dessin.,,25,940,,,,
1922,62,A,,Atlas avec dessin.,,14,266,,,,
1922,62,A,,Atlas (Dessin).,,47,504,,,,
1922,62,A,,Atlas,,59,568,,,,
1922,62,A,,id.,,73,670,,,,
1922,62,A,,Atlas (Ciment) avec dessin,,29,906,,,,
1922,62,A,,Atlas,,80,1080,,,,
1922,62,A,,Atlas dans un lo-sange (Dessin).,,62,1172,,,,
1922,62,A,,Atlas (Tissus) avec globe (Dessin).,,25,1399,,,,
1922,62,A,,Atlas Brand avec dessin,,1,790,,,,
1922,62,A,,Atome,,25,302,,,,
1922,62,A,,A Tout cœur,,58,1704,,,,
1922,62,A,,Atox,,22,189,,,,
1922,62,A,,Atoxythyroïdine.,,79,1720,,,,
1922,62,A,,Atreco,,9,374,,,,
1922,62,A,,Atrefco,,9,374,,,,
1922,62,A,,Atrico,,9,374,,,,
1922,62,A,,Attila,,16,300,,,,
1922,62,A,,Attila avec dessin.,,14,1477,,,,
1922,62,A,,Attix,,9,1854,,,,
1922,62,A,,Attractif,,20,1052,,,,
1922,62,A,,Atyche,,58,307,,,,
1922,62,A,,Aubépine (A l’) avec dessin,,52,1373,,,,
1922,62,A,,Aubépine (L’) avec dessin.,,1,1622,,,,
1922,62,A,,Aubert J. G. (Ou-tils),,42,649,,,,
1922,62,A,,Auberta,,58,393,,,,
1922,62,A,,Aubert a La Perla.,,58,393,,,,
1922,62,A,,Aubin (Vve A.).,,68,778,,,,
1922,62,A,,Audacieux.,,60,82,,,,
1922,62,A,,Audax,,16,709,,,,
1922,62,A,,Audionette.,,20,1456,,,,
1922,62,A,,Audios,,20,227,,,,
1922,62,A,,Auer sur un globe surmonté d’un coq (Dessin).,,62,1233,,,,
1922,62,A,,Auer Universal.,,59,1830,,,,
1922,62,A,,Augier et fils*.,,68,1412,,,,
1922,62,A,,Auguste Heintz.,,35,1458,,,,
1922,62,A,,Augustin (Un).,,40,422,,,,
1922,62,A,,Augustins (Bière des),,68,434,,,,
1922,62,A,,Augustins (Bras-serie des).,,68,434,,,,
1922,62,A,,Augustine (Huile des) avec dessin,,64,1021,,,,
1922,62,A,,Augustins (. Les sive des),,14,1123,,,,
1922,62,A,,Aulait.,,64,1439,,,,
1922,62,A,,Aulis.,,58,1347,,,,
1922,62,A,,Aumon & Co (Jules).,,68,1842,,,,
1922,62,A,,Auréaur.,,8,1290,,,,
1922,62,A,,Auréine.,,8,1291,,,,
1922,62,A,,Auréole (L’).,,75,670,,,,
1922,62,A,,Auréole,,66,1607,,,,
1922,62,A,,id.,,22,1728,,,,
1922,62,A,,Auréor,,8,1290,,,,
1922,62,A,,Aureum,,8,1291,,,,
1922,62,A,,Auriculyl,,79,959,,,,
1922,62,A,,Auriderma,,79,1450,,,,
1922,62,A,,Auridermine.,,79,1451,,,,
1922,62,A,,Auridermique.,,79,1450,,,,
1922,62,A,,Aurifique G. V. (L’),,32,1164,,,,
1922,62,A,,Aurora,,64,871,,,,
1922,62,A,,Aurora avec dessin,,59,1436,,,,
1922,62,A,,Aurora,,78,1449,,,,
1922,62,A,,id.,,56,1703,,,,
1922,62,A,,Aurora Tulip.,,58,1636,,,,
1922,62,A,,Aurore,,33,501,,,,
1922,62,A,,id.,,52,1014,,,,
1922,62,A,,Aurore (Lessive).,,14,1050,,,,
1922,62,A,,Aurore,,22,1053,,,,
1922,62,A,,id.,,33,1586,,,,
1922,62,A,,Page réelle.,,,1596,,,,
1922,62,A,,Aurore Boréale avec ours (Dessin).,,68,1142,,,,
1922,62,A,,Ausone,,62,1270,,,,
1922,62,A,,Ausonia (Essence),,58,657,,,,
1922,62,A,,Austral (L’) avec dessin,,25,419,,,,
1922,62,A,,Australienne (Laine),,44,1668,,,,
1922,62,A,,Austrasia,,53,1762,,,,
1922,62,A,,Auteuil,,60,310,,,,
1922,62,A,,id.,,47,352,,,,
1922,62,A,,Authentique (Cognac),,68,883,,,,
1922,62,A,,id.,,68,1031,,,,
1922,62,A,,id.,,68,1313,,,,
1922,62,A,,id.,,68,1805,,,,
1922,62,A,,Auto.,,8,341,,,,
1922,62,A,,Auto la plus homogène sur une caisse (Dessin).,,9,264,,,,
1922,62,A,,Autocâble,,25,1820,,,,
1922,62,A,,Autoclipse (L’).,,25,1222,,,,
1922,62,A,,Autocorde,,25,1820,,,,
1922,62,A,,Autocrate.,,68,1383,,,,
1922,62,A,,Auto D,,9,1692,,,,
1922,62,A,,Autodé avec dessin,,60,1171,,,,
1922,62,A,,Autodéclancheur (L’),,75,1508,,,,
1922,62,A,,Autofil.,,42,1372,,,,
1922,62,A,,Autoflan,,74,586,,,,
1922,62,A,,Auto - Fourni tures,,25,1820,,,,
1922,62,A,,Auto-Gravure. v,,74,254,,,,
1922,62,A,,Auto-Huyl.,,9,415,,,,
1922,62,A,,Autola,,76,1246,,,,
1922,62,A,,Autolave,,22,599,,,,
1922,62,A,,Autolaveur.,,22,599,,,,
1922,62,A,,Automatic Sx.,,22,681,,,,
1922,62,A,,Automobil (Huile) avec dessin,,9,1393,,,,
1922,62,A,,Automobile (Dessin),,11,1084,,,,
1922,62,A,,id.,,25,1480,,,,
1922,62,A,,id.,,25,1729,,,,
1922,62,A,,Automobiles A. Citroën,,60,1063,,,,
1922,62,A,,Automobiline (Savon),,14,642,,,,
1922,62,A,,Automobiline sur un bidon (Dessin),,14,901,,,,
1922,62,A,,Automobiliste (Dessin).,,47,1344,,,,
1922,62,A,,Auto-oil.,,9,66,,,,
1922,62,A,,Auto-Pat sur un étendard (Dessin). ,,60,1306,,,,
1922,62,A,,Auto-Peinture.,,33,453,,,,
1922,62,A,,Autopiano.,,76,1419,,,,
1922,62,A,,Autopoulin.,,22,1222,,,,
1922,62,A,,Autorail,,25,905,,,,
1922,62,A,,Auto-Rail,,25,1007,,,,
1922,62,A,,Autorette,,59,462,,,,
1922,62,A,,Autosignal B.C.,,25,1519,,,,
1922,62,A,,Autoskop,,22,6,,,,
1922,62,A,,Auto-sport avec dessin,,60,1673,,,,
1922,62,A,,Autosténogra phie,,72,1685,,,,
1922,62,A,,Auto-Strop,,42,684,,,,
1922,62,A,,Automatic,,25,348,,,,
1922,62,A,,Automatic dans un losange,,25,348,,,,
1922,62,A,,Automatic Piano.,,76,482,,,,
1922,62,A,,Automatic siphon (L’),,22,856,,,,
1922,62,A,,Autruche (Dessin),,67,665,,,,
1922,62,A,,id.,,66,1472,,,,
1922,62,A,,Page réelle.,,,1562,,,,
1922,62,A,,Autruche (L’) avec dessin.,,1,339,,,,
1922,62,A,,Autruche (L’) avec dessin et les initiales. L. G.,,63,1352,,,,
1922,62,A,,Auvergnat (L') avec dessin.,,48,1344,,,,
1922,62,A,,Auvergnat (Dessin),,66,1832,,,,
1922,62,A,,Auvergnate (LD sur un globe avec dessin.,,53,1168,,,,
1922,62,A,,Auvergne (Confiturerie d’).,,66,1833,,,,
1922,62,A,,Auxerre,,7,491,,,,
1922,62,A,,Auxerrois (L’).,,66,664,,,,
1922,62,A,,Auzeu (Crème).,,66,1711,,,,
1922,62,A,,A.V. dans un losange,,40,12,,,,
1922,63,A,,A. V,,40,112,,,,
1922,63,A,,Avaleur n’attend pas le nombre des années (L’) avec dessin,,68,807,,,,
1922,63,A,,Avaltrous,,25,73,,,,
1922,63,A,,"Avant, après l’usage avec deux mains (Dessin).",,58,277,,,,
1922,63,A,,A. V. E,,58,1763,,,,
1922,63,A,,Avec toi,,66,664,,,,
1922,63,A,,Avelaine (L’) avec dessin,,14,1254,,,,
1922,63,A,,Avenir (Lessiveuse 1’).,,38,1464,,,,
1922,63,A,,Page réelle.,,,1554,,,,
1922,63,A,,"Avenir"" agricole (Fromage Munster F)",,64,1308,,,,
1922,63,A,,Avenir forain (L’),,58,17,,,,
1922,63,A,,Avetis parfum arménien,,58,79,,,,
1922,63,A,,Avia flor,,58,1829,,,,
1922,63,A,,Aviateur (A l') avec dessin,,53,947,,,,
1922,63,A,,Aviateurs (Chocolat des),,66,314,,,,
1922,63,A,,Aviatic dans un triangle (Dessin).,,48,1166,,,,
1922,63,A,,Aviator,,25,1697,,,,
1922,63,A,,Avieole avec A.D.,,70,253,,,,
1922,63,A,,Aviette (Cycles) avec dessin,,25,1627,,,,
1922,63,A,,Aviette (L’) avec T. D,,9,594,,,,
1922,63,A,,Avinière (L’),,68,476,,,,
1922,63,A,,A. Vion,,76,170,,,,
1922,63,A,,Avion (L’) avec dessin,,2,548,,,,
1922,63,A,,Avion (Charbon de bois 1’) avec dessin),,2,548,,,,
1922,63,A,,Avioncâblé,,25,1820,,,,
1922,63,A,,Avioncorde,,25,1820,,,,
1922,63,A,,Avion postal (Dessin),,72,1847,,,,
1922,63,A,,Aviso,,25,558,,,,
1922,63,A,,Avium,,23,1089,,,,
1922,63,A,,Avol,,79,820,,,,
1922,63,A,,Avon dans un ovale (Dessin).,,62,1378,,,,
1922,63,A,,Avorrine avec A. V,,67,520,,,,
1922,63,A,,A.W. avec deux clefs entrelacées (Dessin),,68,1317,,,,
1922,63,A,,A. et W. dafis un losange (Dessin).,,11,1454,,,,
1922,63,A,,Awarded 50 Medals,,68,1312,,,,
1922,63,A,,A.W. Faber,,72,1281,,,,
1922,63,A,,id.,,72,1652,,,,
1922,63,A,,A.W. P,,8,1331,,,,
1922,63,A,,A.W. U,,8,549,,,,
1922,63,A,,Axa avec bras armé (Dessin),,59,1794,,,,
1922,63,A,,id.,,59,1795,,,,
1922,63,A,,Axa Abadie,,59,1793,,,,
1922,63,A,,id.,,59,1794,,,,
1922,63,A,,Axes de pistons (Les) avec dessin,,22,1398,,,,
1922,63,A,,Axol,,9,1458,,,,
1922,63,A,,Page réelle.,,,1548,,,,
1922,63,A,,Axoline,,33,1257,,,,
1922,63,A,,Axyris,,58,1133,,,,
1922,63,A,,Aya,,48,1403,,,,
1922,63,A,,Ayala & C,,68,814,,,,
1922,63,A,,Ayéristocrat,,58,1203,,,,
1922,63,A,,A.Z. dans un cercle,,25,971,,,,
1922,63,A,,Azoff,,68,320,,,,
1922,63,A,,Azoff (Kummel) sur une bouteille (Dessin),,68,1033,,,,
1922,63,A,,Azostrontium.,,79,29,,,,
1922,63,A,,Azul Ultramar Guimet,,15,793,,,,
1922,63,A,,Azur,,1,33,,,,
1922,63,A,,id.,,46,352,,,,
1922,63,A,,id.,,58,355,,,,
1922,63,A,,id.,,11,1000,,,,
1922,63,A,,Azur d’Italie,,58,275,,,,
1922,63,A,,Azur Paris,,76,170,,,,
1922,63,A,,Azura,,52,353,,,,
1922,63,A,,Azure,,14,1727,,,,
1922,63,A,,Azuréa (Lessive). avec dessin,,14,1159,,,,
1922,63,A,,Azurée (Eau de Cologne),,58,759,,,,
1922,63,A,,Azurée (Eau de Cologne) sur un flacon (Dessin).,,58,759,,,,
1922,63,A,,Azuride (Bouillie).,,13,642,,,,
1922,63,A,,Azurine Racine.,,15,748,,,,
1922,63,A,,Azurol,,9,1424,,,,
1922,63,A,,Azyadé,,66,1356,,,,
1922,63,A,,Azygol,,79,618,,,,
1922,63,B,,B. avec dessin,,20,109,,,,
1922,63,B,,B,,32,559,,,,
1922,63,B,,B sur unécusson.,,68,617,,,,
1922,63,B,,B. (Solution),,79,633,,,,
1922,63,B,,B. sur une roue dentée (Dessin).,,11,1000,,,,
1922,63,B,,B. avec dessin,,42,1165,,,,
1922,63,B,,B. sur un cachet (Dessin),,64,1741,,,,
1922,63,B,,B. dans un écusson,,68,1843,,,,
1922,63,B,,B. sur un cachet (Dessin),,69,1846,,,,
1922,63,B,,B. dans un écusson couronné tenu par un griffon et une licorne (Dessin).,,41,1823,,,,
1922,63,B,,B brand (The).,,64,47,,,,
1922,63,B,,B avec cornue sur un réfrigérant (Dessin).,,79,994,,,,
1922,63,B,,B. A. sur un triangle dans un cercle (Dessin),,25,1585,,,,
1922,63,B,,Page réelle.,,,1595,,,,
1922,63,B,,Bab Allah (Rhum) avec dessin.,,68,1181,,,,
1922,63,B,,Babani,,48,1732,,,,
1922,63,B,,Babazoum,,23,1089,,,,
1922,63,B,,Babbe Brum melhafe avec dessin,,14,345,,,,
1922,63,B,,Babichou,,60,610,,,,
1922,63,B,,Babijou,,60,610,,,,
1922,63,B,,Babillages de fleurs,,58,1705,,,,
1922,63,B,,Babioles Dau phinoises (Les).,,66,1834,,,,
1922,63,B,,Baby,,16,300,,,,
1922,63,B,,id.,,52,1302,,,,
1922,63,B,,Baby Car avec dessin,,25,1429,,,,
1922,63,B,,Baby-culotte.,,49,652,,,,
1922,63,B,,Baby-Dessert.,,66,984,,,,
1922,63,B,,Babylone,,58,687,,,,
1922,63,B,,Baby's own,,43,602,,,,
1922,63,B,,Bac (Le),,14,1123,,,,
1922,63,B,,Bacho,,72,1719,,,,
1922,63,B,,Bacoq,,79,737,,,,
1922,63,B,,Bac-sul,,13,34,,,,
1922,63,B,,Bactobyl,,79,485,,,,
1922,63,B,,Badia,,52,1760,,,,
1922,63,B,,Badin,,52,1760,,,,
1922,63,B,,Badois (Le P. P. R. L.),,72,1876,,,,
1922,63,B,,Badouia,,58,689,,,,
1922,63,B,,Bagier & C  (Ch.),,68,472,,,,
1922,63,B,,Bagnères de Luchon,,58,1637,,,,
1922,63,B,,Bagnoles de l’Orne (Bains alcalins de) (Bains aux sels desséchés de) (Bains aux principes actifs des eaux de) (Produits médicinaux de) (Pilules de) (Bains de),,79,1388,,,,
1922,63,B,,Bagu’e (La) avec dessin,,64,1606,,,,
1922,63,B,,Bahia,,58,116,,,,
1922,63,B,,id.,,66,1356,,,,
1922,63,B,,Baïa,,68,1208,,,,
1922,63,B,,Baillargère,,68,839,,,,
1922,63,B,,Bain fleuri,,58,1435,,,,
1922,63,B,,Bain de Jo. (Le) avec dessin,,58,1203,,,,
1922,63,B,,Bain sec (Le).,,79,176,,,,
1922,63,B,,Bain-Toilette.,,58,1062,,,,
1922,63,B,,Bains (Savon pour,,58,564,,,,
1922,63,B,,Bains dioxyl Kirchner,,79,1389,,,,
1922,63,B,,Bajac,,68,1650,,,,
1922,63,B,,Bakers flour avec armes de Paris (Dessin),,1,898,,,,
1922,63,B,,Balance (Dessin).,,51,234,,,,
1922,63,B,,id.,,51,235,,,,
1922,63,B,,id.,,51,236,,,,
1922,63,B,,id.,,51,237,,,,
1922,63,B,,id.,,51,238,,,,
1922,63,B,,id.,,68,472,,,,
1922,63,B,,id.,,64,1308,,,,
1922,63,B,,Balance (Dessin) avec A.W. Faber,,72,1281,,,,
1922,63,B,,Balance (Dessin) avec Cipma,,75,1366,,,,
1922,63,B,,Balance commune (Dessin).,,14,968,,,,
1922,63,B,,Balance ordinaire (Dessin).,,14,968,,,,
1922,63,B,,Balance de Roberval (Dessin).,,14,968,,,,
1922,63,B,,Balance romaine (Dessin),,14,968,,,,
1922,63,B,,Bald dans un cercle,,33,150,,,,
1922,63,B,,BALD,,70,165,,,,
1922,63,B,,Bald,,72,168,,,,
1922,63,B,,id.,,80,179,,,,
1922,63,B,,Baldor,,72,586,,,,
1922,63,B,,Baldur,,76,439,,,,
1922,63,B,,Baleau (Clos de).,,68,1645,,,,
1922,63,B,,Baleine,,72,1652,,,,
1922,63,B,,Baleine avec dessin,,72,1652,,,,
1922,63,B,,Baleinette application,,52,606,,,,
1922,63,B,,Baléna,,52,198,,,,
1922,63,B,,Balfresco,,33,271,,,,
1922,63,B,,Balio,,33,271,,,,
1922,63,B,,Balle D Eponge.,,60,950,,,,
1922,63,B,,Ballet Fantasque,,72,1875,,,,
1922,63,B,,Ballets Fantastiques,,72,1875,,,,
1922,63,B,,Ballets irréels.,,72,1875,,,,
1922,63,B,,Ballets surnaturels,,72,1875,,,,
1922,63,B,,Ballon (Dessin).,,66,766,,,,
1922,63,B,,Ballon (Plume).,,72,1653,,,,
1922,63,B,,Ballon de Truchsess (Champagne),,68,1651,,,,
1922,63,B,,Balluteaud (I.).,,68,320,,,,
1922,63,B,,Bally,,53,1434,,,,
1922,63,B,,Balsamiqpe Renard (Sirop).,,79,736,,,,
1922,63,B,,Balsamo,,68,575,,,,
1922,63,B,,Baltimore,,68,1835,,,,
1922,63,B,,Balzac,,72,166,,,,
1922,63,B,,Bamag,,7,678,,,,
1922,63,B,,Bamako (Rhum).,,68,811,,,,
1922,63,B,,Bambil,,52,1404,,,,
1922,63,B,,Bambin (Au) avec dessin et les initiales B.R.S.,,52,1094,,,,
1922,63,B,,Bambino,,66,1023,,,,
1922,63,B,,Bamboula,,68,287,,,,
1922,63,B,,Bana avec dessin.,,66,952,,,,
1922,63,B,,Bana,,58,1489,,,,
1922,63,B,,Bana (La),,63,1831,,,,
1922,63,B,,Banane,,66,207,,,,
1922,63,B,,Bananor,,68,1680,,,,
1922,63,B,,Bananos (La) avec dessin,,66,1140,,,,
1922,63,B,,Banata,,63,1831,,,,
1922,63,B,,Banco,,68,1646,,,,
1922,63,B,,Bandard,,68,1239,,,,
1922,63,B,,id.,,68,1359,,,,
1922,63,B,,Bande (Dessin).,,67,878,,,,
1922,63,B,,id.,,67,1609,,,,
1922,63,B,,Bande avec médaillon (Dessin).,,67,878,,,,
1922,63,B,,Bande Bleue,,32,1164,,,,
1922,63,B,,Bande rouge,,66,837,,,,
1922,63,B,,Bande de ruban (Dessin),,66,837,,,,
1922,63,B,,Banderillero (Tressaline au).,,52,1702,,,,
1922,63,B,,Banderolle (Dessin),,68,1773,,,,
1922,63,B,,Banjo avec dessin.,,59,1062,,,,
1922,63,B,,Banquise,,64,1463,,,,
1922,63,B,,Banuyls - Grenache,,68,584,,,,
1922,63,B,,Banyuls - Treillet,,68,814,,,,
1922,63,B,,Baptême.,,66,1473,,,,
1922,63,B,,Page réelle.,,,1563,,,,
1922,63,B,,B.A.R. sur un un tonneau avec deux ancres (Dessin),,11,342,,,,
1922,63,B,,Bar (Porto),,68,1645,,,,
1922,63,B,,Bara (Kina),,79,783,,,,
1922,63,B,,Baraka avec dessin,,45,232,,,,
1922,63,B,,Baraka,,72,1719,,,,
1922,63,B,,Barbessou (Anti-douleur) avec coq (Dessin),,79,1079,,,,
1922,63,B,,Barco,,53,507,,,,
1922,63,B,,Bardinet (Cherry Brandy Cordial).,,68,617,,,,
1922,63,B,,Bardinet (Grande liqueur) sur une bouteille (Dessin),,68,617,,,,
1922,63,B,,Bardinet,,68,1843,,,,
1922,63,B,,id.,,68,1844,,,,
1922,63,B,,Bardinet (Cherry Brandy),,68,1844,,,,
1922,63,B,,Bardinet (Curaçao extra fin) -.,,68,1844,,,,
1922,63,B,,"Bardinet (Grenadine, Orangeade)",,69,1846,,,,
1922,63,B,,Bardin’s Opiat (Dentifrice su périeur),,58,1097,,,,
1922,63,B,,Bareuzai (Le) avec dessin,,68,1242,,,,
1922,63,B,,id.,,68,1649,,,,
1922,63,B,,Barioline,,44,604,,,,
1922,63,B,,Bariquand La Facile,,42,1522,,,,
1922,63,B,,Barker,,22,1255,,,,
1922,63,B,,Barles (A.). -.,,65,1640,,,,
1922,63,B,,Barmor,,53,1460,,,,
1922,63,B,,Barnett et Eli chagaray,,68,526,,,,
1922,63,B,,Barnett et Fils.,,68,527,,,,
1922,63,B,,Barolia,,50,799,,,,
1922,63,B,,Baron & Co (Em),,68,129,,,,
1922,63,B,,Baron de Lacroix,,68,1650,,,,
1922,63,B,,Baron Latour.,,68,1412,,,,
1922,63,B,,Baron Latoure.,,68,1412,,,,
1922,63,B,,Baron de Montlouis,,68,1416,,,,
1922,63,B,,Baron Vinay,,68,289,,,,
1922,63,B,,Baronnette,,66,766,,,,
1922,63,B,,Barre Rouge,,66,837,,,,
1922,63,B,,Barrelle (Pipe).,,59,357,,,,
1922,63,B,,Barrett,,16,1783,,,,
1922,63,B,,Barrette T,,25,1585,,,,
1922,63,B,,Page réelle.,,,1595,,,,
1922,63,B,,Barrey (Légumes secs décortiqués).,,63,1234,,,,
1922,63,B,,Barrois (Le),,53,758,,,,
1922,63,B,,Barroise (La).,,68,1682,,,,
1922,63,B,,Barry (Porto du).,,68,1679,,,,
1922,63,B,,Bartels & Co (A.).,,68,1316,,,,
1922,63,B,,Barville & Co (De),,68,248,,,,
1922,63,B,,Baryoplastine.,,79,1248,,,,
1922,63,B,,Bas (Dessin),,52,391,,,,
1922,63,B,,Basalta,,20,301,,,,
1922,63,B,,id.,,64,1172,,,,
1922,63,B,,Basaltine,,33,973,,,,
1922,63,B,,Basco,,47,1012,,,,
1922,63,B,,Basilisk,,33,271,,,,
